feature,paired_rows,coverage,pearson,spearman,covariance
ewm_3_asof_origin,3036,0.9644218551461246,0.7621234873742069,0.6738866014477792,170365020.21596792
last_quantity,3036,0.9644218551461246,0.7552229079943923,0.6540938076571482,180773142.1344441
rolling_mean_6_asof_origin,3036,0.9644218551461246,0.7406996931925015,0.6402233748351371,164669737.77878246
rolling_mean_3_asof_origin,3036,0.9644218551461246,0.7389160187257755,0.6492080079085918,168014015.1157237
quantity_lag6_from_origin,2013,0.6394536213468869,0.7066157107771008,0.5054552911659542,155835160.01563385
quantity_lag1_from_origin,2865,0.9101016518424396,0.6990753000854804,0.5794674113474446,165726171.17963436
seasonal_naive,1413,0.448856416772554,0.6919774978730798,0.6928774051878787,156222202.0892177
rolling_std_6_asof_origin,2865,0.9101016518424396,0.688509321303593,0.5865341637245777,68535020.834183
quantity_lag3_from_origin,2523,0.8014612452350699,0.6825012798774209,0.5255588136441212,148220511.93600658
quantity_lag2_from_origin,2694,0.8557814485387548,0.6808616300280803,0.5420276219200909,155217775.81910315
rolling_std_3_asof_origin,2865,0.9101016518424396,0.658759111954162,0.5221220352128482,55403041.42051771
quantity_lag12_from_origin,1161,0.3688055908513342,0.5187798093839213,0.38940503770135965,112917348.36953557
region_ex_self_lag2,2694,0.8557814485387548,-0.3052011725803775,-0.2559816328202044,-236703669.4492597
region_ex_self_lag3,2523,0.8014612452350699,-0.2935974305123161,-0.25792155516360077,-216362719.75517187
region_ex_self_lag1,2865,0.9101016518424396,-0.28574458478981235,-0.22466802438222272,-231228520.30218804
region_ex_self_lag0,3036,0.9644218551461246,-0.23372702999208136,-0.12580479978840103,-192531615.9543864
active_base_skus_asof_origin,3036,0.9644218551461246,0.1870703263044663,0.4861295349604266,187813.57348559055
trend_index,3148,1.0,-0.16948769248727977,-0.2196419350759024,-16337.864546732239
top5_abs_share_asof_origin,3036,0.9644218551461246,-0.16290006872394705,-0.36757121608829224,-404.49886678432455
top_peer_lag1_quantity,2423,0.7696950444726811,-0.1419782187669657,-0.16788110090887343,-43746226.94516898
system_ex_self_lag1,2865,0.9101016518424396,-0.1319411973335821,-0.12135623234802974,-338219811.88629454
target_month_cos,3148,1.0,-0.1309409563372258,-0.17969220995384957,-1407.8568976405102
sku_hhi_asof_origin,3036,0.9644218551461246,-0.1116002016020645,-0.39571670732547665,-118.67790152855571
top_peer_last_quantity,2515,0.7989199491740788,-0.10966572534546844,-0.06797391847041825,-33583418.57403922
ty_trong_chay_tet,3148,1.0,-0.08429237145424805,-0.10051917713032958,-230.19582451570358
flag_mua_mua,3148,1.0,-0.0803714060270489,0.0257046509493317,-590.8814479938455
ty_trong_thanh_minh,3148,1.0,0.07295711421202898,0.10016272189466661,166.14694384437382
quantity_lag1_available,3148,1.0,0.07037686947681446,0.17919519369755849,306.3587208271646
ty_trong_thang_gieng,3148,1.0,-0.06920566517430651,-0.1906398373836457,-233.5859433949361
target_month_sin,3148,1.0,0.06823522104666574,0.07368781693904278,728.8989560811995
system_ex_self_lag0,3036,0.9644218551461246,-0.061201418675102114,-0.01984746957886624,-160843218.72826993
ty_trong_thang_co_hon,3148,1.0,-0.03397418008987336,-0.04515826219848345,-120.51008594186183
target_month_number,3148,1.0,-0.028776207568094885,0.02002570831219075,-1418.2273336815385
quantity_lag6_available,3148,1.0,-0.02556368905052014,0.045623182117821647,-186.8048366442298
quantity_lag2_available,3148,1.0,0.02183586338208058,0.12457281882106604,116.74596051384552
quantity_lag3_available,3148,1.0,-0.013141135505822328,0.08392546324389216,-79.77674262031206
quantity_lag12_available,3148,1.0,0.011197112830486711,0.11714983131454783,82.217803470145
horizon,3148,1.0,0.004994667623126672,0.011378302434961319,62.024167414739914
recent_growth_3m,2523,0.8014612452350699,-0.0012061395592303965,0.058740872647625265,-3444.57395018389
gg_trends_lag1,3148,1.0,-0.0010364970454982433,0.002259480061965042,-68.08808904909644
