branch,branch_name,region,top_peer_branch,origin_month,last_quantity,quantity_lag1_from_origin,quantity_lag2_from_origin,quantity_lag3_from_origin,quantity_lag6_from_origin,quantity_lag12_from_origin,quantity_lag1_available,quantity_lag2_available,quantity_lag3_available,quantity_lag6_available,quantity_lag12_available,rolling_mean_3_asof_origin,rolling_mean_6_asof_origin,rolling_std_3_asof_origin,rolling_std_6_asof_origin,ewm_3_asof_origin,recent_growth_3m,region_ex_self_lag0,region_ex_self_lag1,region_ex_self_lag2,region_ex_self_lag3,system_ex_self_lag0,system_ex_self_lag1,active_base_skus_asof_origin,top5_abs_share_asof_origin,sku_hhi_asof_origin,top_peer_last_quantity,top_peer_lag1_quantity,target_month,horizon,target_quantity,seasonal_naive,trend_index,gg_trends_lag1,flag_mua_mua,ty_trong_chay_tet,ty_trong_thang_gieng,ty_trong_thang_co_hon,ty_trong_thanh_minh,target_month_number,target_month_sin,target_month_cos
000,Công Ty Cổ Phần Tập Đoàn UNIS,Khác,222,2024-01-01,88749.92,,,,,,0,0,0,0,0,88749.92,88749.92,,,88749.92,,10089.119999999995,,,,251814.09000000003,,176.0,0.176314975833218,0.0159267733477491,10089.12,,2024-02-01,1,76880.9199999999,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
001,Chi nhánh Đà Nẵng Unis,Tây Nguyên,079,2024-01-01,6694.32,,,,,,0,0,0,0,0,6694.32,6694.32,,,6694.32,,59306.159999999996,,,,333869.69,,133.0,0.244147277094612,0.0222470944823029,4338.3,,2024-02-01,1,6484.8,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
002,Chi nhánh Bình Dương Unis,Đông Nam Bộ,060,2024-01-01,4696.74,,,,,,0,0,0,0,0,4696.74,4696.74,,,4696.74,,62207.200000000004,,,,335867.27,,109.0,0.396875279449149,0.0446017161421576,7283.69,,2024-02-01,1,1270.45,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
008,Chi nhánh HCM Unis,Đông Nam Bộ,076,2024-01-01,13811.34,,,,,,0,0,0,0,0,13811.34,13811.34,,,13811.34,,53092.600000000006,,,,326752.67,,201.0,0.19043771277805,0.0184157390377546,7103.47,,2024-02-01,1,3194.17,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
010,Chi nhánh Đồng Nai Unis,Đông Nam Bộ,050,2024-01-01,8478.29,,,,,,0,0,0,0,0,8478.29,8478.29,,,8478.29,,58425.65,,,,332085.72000000003,,134.0,0.459219960628853,0.0642862926679018,11981.21,,2024-02-01,1,7626.08,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
011,Chi nhánh Tiền Giang Unis,Tây Nam Bộ,008,2024-01-01,9085.71000000001,,,,,,0,0,0,0,0,9085.71000000001,9085.71000000001,,,9085.71000000001,,99734.84,,,,331478.3,,167.0,0.244150429630706,0.0229356185091569,13811.34,,2024-02-01,1,4501.62,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
012,Chi nhánh Bình Thuận Unis,Tây Nguyên,064,2024-01-01,3119.7,,,,,,0,0,0,0,0,3119.7,3119.7,,,3119.7,,62880.78,,,,337444.31,,97.0,0.430708080905215,0.0594709037413114,4220.23,,2024-02-01,1,2597.82,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
013,Chi nhánh Bình Phước Unis,Đông Nam Bộ,073,2024-01-01,2627.28,,,,,,0,0,0,0,0,2627.28,2627.28,,,2627.28,,64276.66,,,,337936.73,,58.0,0.464487987576506,0.0570493113437571,9201.11999999999,,2024-02-01,1,2762.73,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
014,Chi nhánh Quảng Ngãi Unis,Tây Nguyên,072,2024-01-01,7389.41,,,,,,0,0,0,0,0,7389.41,7389.41,,,7389.41,,58611.06999999999,,,,333174.60000000003,,90.0,0.44772180728908,0.0753510572008639,8783.03,,2024-02-01,1,10027.69,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
015,Chi nhánh Vĩnh Long Unis,Tây Nam Bộ,069,2024-01-01,11094.57,,,,,,0,0,0,0,0,11094.57,11094.57,,,11094.57,,97725.98000000001,,,,329469.44,,192.0,0.231601585280006,0.0205743959890016,9200.19999999999,,2024-02-01,1,7067.03,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
