region,base_sku,branch,status,first_observed_month,last_observed_month,last_positive_month,months_since_last_positive,exclusion_reason
TNB,03.L1.3030.6372,015,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6372,018,Vô hiệu hóa,2024-03-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3030.6372,023,Vô hiệu hóa,2024-11-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
DNB,03.L1.3030.6373,013,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6373,017,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6373,018,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,03.L1.3030.6373,019,Vô hiệu hóa,2024-03-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3030.6373,023,Vô hiệu hóa,2024-04-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6375,063,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6375,069,Vô hiệu hóa,2025-01-01,2025-01-01,2025-01-01,17,permanently_inactive_outside_recent_window
DNB,03.L1.3030.6375,076,Vô hiệu hóa,2025-04-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6376,050,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6376,063,Vô hiệu hóa,2025-05-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
DNB,03.L1.3030.6376,081,Vô hiệu hóa,2024-12-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6377,024,Vô hiệu hóa,2024-09-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6378,018,Vô hiệu hóa,2024-03-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,03.L1.3030.6378,019,Vô hiệu hóa,2024-08-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,03.L1.3030.6378,024,Vô hiệu hóa,2024-09-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7104,002,Vô hiệu hóa,2024-01-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7104,012,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7104,013,Vô hiệu hóa,2024-02-01,2024-02-01,2024-02-01,28,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7104,017,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7104,023,Vô hiệu hóa,2024-04-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7104,024,Vô hiệu hóa,2024-02-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7105,013,Vô hiệu hóa,2024-02-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7105,017,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7105,024,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7106,002,Vô hiệu hóa,2024-01-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7106,010,Vô hiệu hóa,2024-01-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7106,013,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7106,017,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
MT-TNG,03.L1.3060.7106,023,Vô hiệu hóa,2024-09-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7106,024,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7107,008,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7107,015,Vô hiệu hóa,2024-03-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7107,016,Vô hiệu hóa,2024-04-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7107,017,Vô hiệu hóa,2024-05-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7107,019,Vô hiệu hóa,2024-06-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7107,024,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7108,011,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7108,015,Vô hiệu hóa,2024-04-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7108,016,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7108,018,Vô hiệu hóa,2024-03-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7108,019,Vô hiệu hóa,2024-06-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7108,024,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7109,008,Vô hiệu hóa,2024-08-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7109,013,Vô hiệu hóa,2024-10-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7109,016,Vô hiệu hóa,2024-04-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7109,017,Vô hiệu hóa,2024-01-01,2025-01-01,2025-01-01,17,permanently_inactive_outside_recent_window
DNB,03.L1.3060.7109,019,Vô hiệu hóa,2024-06-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,03.L1.3060.7109,024,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
Chưa xác định,03.L1.3060.7114,000,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
